id,quote,source_url,platform,date,stars,reviewer,jtbd_signal,frustration,persona_hint,language,notes
99,"nicht registrierte Rücksendung als Regel und nicht als Versehen. Ich brauchte fast einen Anwalt.",https://www.shopauskunft.de/review/www.zalando.de,shopauskunft.de,2026-01-01,1,Julie,returns-systemic,lawyer-needed,outfit-seeker-or-single-item,de,German; Unregistered returns are the rule not the exception - almost needed a lawyer
100,"check out my @Zalando style creator guide in my bio for outfit details and other inspo fits #stylecreator #getthelook collaboration",https://www.tiktok.com/@steph.jh/video/7427504574405168416,TikTok — Zalando Style Creator (caption),~2024-10,,Steph JH (@steph.jh),creator-side,creator-funnels-to-zalando-bio,creator-follower,en,★ Creator-side voice (not Creator-Follower customer voice) — illustrates the funnel pattern Creator-Followers enter through; verbatim caption preserved by Google index
101,"so happy to finally tell you that I am now a Zalando style creator thank you you are the reason this is happening I will",https://www.pinterest.com/pin/so-happy-to-finally-tell-you-that-i-am-now-a-zalando-style-creator-thank-you-you-are-the-reason-this-is-happening-i-will--338684834499997581/,Pinterest pin (creator-side),~2024,,Pinterest creator (anonymized in URL),creator-side,creator-announces-program-membership,creator-follower,en,★ Creator-side voice. Truncated by URL slug; full verbatim preserved as-is
102,"Since the introduction of the new Style Creator Program, the average of interactions per customer with creator outfits improved by 25% within the first two months",https://corporate.zalando.com/en/company/how-zalando-helps-customers-make-perfect-fashion-choices,Zalando Corporate (employee quote),~2024,,Lucie McLean (Director of Outfits, Zalando),quantitative-zalando-side,creator-engagement-uplift,creator-follower,en,★ Zalando-side quantitative evidence — +25% creator-outfit interactions per customer is the structural signal that Creator-Follower JTBD exists and is responsive to better tooling
103,"Zalando's recommendations often consisted of incomplete looks with just 2 products",https://www.intelistyle.com/intelistyles-ai-stylist-outperforms-zalando/,Intelistyle independent benchmark,~2024,,Intelistyle benchmark (third-party),benchmark-evidence,zalando-recs-incomplete,creator-follower,en,★ Third-party benchmark — quantitative confirmation that Zalando outfit-completion is structurally incomplete (avg 3 items vs Intelistyle 4, ceiling at 4 vs higher); directly affects Creator-Follower whose JTBD requires complete outfits
104,"Järkyttävää asiakaspalvelua. Ollut tyytyväinen asiakas monia vuosia.",https://www.reviews.io/company-reviews/store/zalando-com?page=5,reviews.io,~2025-10 (7 months ago at fetch),,Perttu Laine,customer-service,long-term-customer-recent-churn,inspiration-browser,fi,Finnish; first Finnish-market quote in corpus; Translation: Shocking customer service. Was a satisfied customer for many years. Matches long-term-customer-turned-churned pattern (cross-confirms quotes #2 #11 #13)
105,"I have not received the correct refund for the last 3 refunds.",https://www.reviews.io/company-reviews/store/zalando-com?page=6,reviews.io,~2025-06 (11 months ago at fetch),,Helen,refund-amount,refunds-recurring-incorrect,outfit-seeker-or-single-item,en,Different excerpt from same reviewer as #11; adds NEW frustration dimension (refund-amount accuracy across 3 consecutive returns) on top of the wrong-sizing pattern already in #11. Specific magnitude (3 returns in a row) is new signal.
106,"Zalando, c'est comme un défilé de mode dans un terrain vague : beau de loin",https://fr.custplace.com/zalando?page=2,custplace.com,2025-05-09,1,Krommenacker,inspiration-vs-reality,looks-good-from-afar-disappoints-up-close,inspiration-browser,fr,French; ★ vivid voice quote. Translation: Zalando is like a fashion show in a wasteland: beautiful from afar. Captures the Inspiration Browser's gap between promised inspiration and delivered reality
107,"J'ai commandé un manteau(cher!) qui est arrivé différent de la photo",https://fr.custplace.com/zalando?page=2,custplace.com,2024-12-04,1,Legrand Josiane,photo-accuracy,received-different-from-photo,single-item-shopper,fr,French; ★ directly corroborates case-study Problem #1 (tagging/photo accuracy) in French market. Translation: I ordered an (expensive!) coat that arrived different from the photo
108,"L'une des chaussures n'a carrément pas les logos Nike sur la chaussure",https://fr.custplace.com/zalando?page=2,custplace.com,2024-09-23,1,Claire,authenticity,missing-brand-logos,single-item-shopper,fr,French; authenticity concern. Translation: One of the shoes literally has no Nike logos on it. Cross-confirms the Nike-authenticity doubt in NL quote #52
109,"Proposent des promo, mais on ne peut pas passer commande !",https://fr.custplace.com/zalando?page=2,custplace.com,2025-03-24,1,Bern,sale-checkout,promo-shown-cannot-order,bargain-hunter,fr,French; bargain-hunter friction. Translation: They offer promos but you can't place the order! Sale-path breakage — relevant to counter-persona + counter-metric C1
110,"Ils envoient des mails avec de faux codes promos pour inciter à commander",https://fr.custplace.com/zalando?page=2,custplace.com,2023-11-17,1,Gouin,promo-trust,fake-promo-codes,bargain-hunter,fr,French; bargain-hunter trust issue. Translation: They send emails with fake promo codes to incite ordering. Sale-incentive distrust
111,"Désactive mode de paiement facture, sans aucune raison",https://fr.custplace.com/zalando?page=2,custplace.com,2024-10-12,1,Lulu,checkout-options,payment-method-disabled,outfit-seeker-or-single-item,fr,French; checkout friction. Translation: Disables invoice payment method for no reason. Cross-confirms PayPal-removed pattern in EN quote #17
112,"l'un des vêtements livré est de la mauvaise taille",https://fr.custplace.com/zalando?page=2,custplace.com,2024-12-30,1,Frédéric,sizing,wrong-size-delivered,single-item-shopper,fr,French; wrong-size pattern (cross-confirms #10 #30 #41)
